prime_mover,cls,formula,boot_num,rmse
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,3,6956365.346039654
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj,1,6772068.476153626
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj,2,5892208.184030163
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj,3,6742199.629363991
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj + oil_starts_adj,1,6670624.12093937
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj + oil_starts_adj,2,5572714.292231956
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + gen_adj + oil_starts_adj,3,7158952.975977504
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj,1,6555975.116219929
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj,2,5531908.309029175
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj,3,6748003.960480109
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj,1,6555975.116219929
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj,2,5531908.309029175
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj,3,6748003.960480109
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,1,6358350.002380954
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,2,5611951.173862749
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,3,6408869.126885238
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,1,6315354.313443504
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,2,5584738.508843362
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,3,6369040.068344159
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,1,6297023.515020665
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,2,5643789.660285011
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,3,6493802.642799596
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,1,6301119.082218046
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,2,5654318.393581467
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,3,6491775.928726933
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj,1,6523055.699599341
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj,2,5501061.295047399
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj,3,6713118.227494224
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,1,6497945.604671635
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,2,5665119.780356536
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,3,6991889.768638489
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + oil_starts_adj,1,6499588.147241874
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + oil_starts_adj,2,5655547.151392327
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + oil_starts_adj,3,6978736.5473476825
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj,1,6358350.002380954
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj,2,5611951.173862749
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj,3,6408869.126885238
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj,1,6315354.313443504
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj,2,5584738.508843362
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj,3,6369040.068344159
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,1,6297023.515020665
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,2,5643789.660285011
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,3,6493802.642799596
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,1,6301119.082218046
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,2,5654318.393581467
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,3,6491775.928726933
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj,1,6523055.699599341
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj,2,5501061.295047399
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj,3,6713118.227494224
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj + oil_starts_adj,1,6497945.604671635
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj + oil_starts_adj,2,5665119.780356536
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj + oil_starts_adj,3,6991889.768638489
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + oil_starts_adj,1,6499588.147241874
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + oil_starts_adj,2,5655547.151392327
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + oil_starts_adj,3,6978736.5473476825
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_starts_adj,1,6756131.1665080115
