prime_mover,cls,formula,variable,coefficient,category,variable_type
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,capacity_adj,43077.0947918961,fixed,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,age_fixed_adj,441.8998785441047,fixed,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,pollution_fixed_adj,0.995436649716919,fixed,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,gen_adj,-0.8191678316425609,variable,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,age_variable_adj,-0.6604552902820954,variable,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,age_obs_variable_adj,0.22206018300384314,variable,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,pollution_variable_adj,-6.4191788970652e-4,variable,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,starts_adj,32.24620368242693,start,core
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,gas_fixed_adj,-30706.19364390811,fixed,optional
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,oil_fixed_adj,-30760.42916892484,fixed,optional
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,pulverized_coal_fixed_adj,11406.135117986965,fixed,optional
ST,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + pollution_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gas_fixed_adj + oil_fixed_adj + pulverized_coal_fixed_adj + gas_age_variable_adj + gas_starts_adj,gas_age_variable_adj,0.7788005957837343,variable,optional
