prime_mover,rowid,RC1,RC2,RC3,RC4
ST,5683,-0.14306946890105054,-0.01249555704827405,0.10533979820166053,-0.1283062436912619
ST,5685,-0.08062552248573769,-0.08628922834876145,0.08960169562327429,-0.06681052645500536
ST,5686,-0.10259893214974138,-0.05738427494466772,0.09222785189767752,-0.09159417258655833
ST,5687,-0.10427359062839102,-0.05164353458337162,0.09382957510468885,-0.09601829376377417
ST,5688,-0.11032329177333661,-0.048951493083227555,0.0986561572071191,-0.10035228783207409
ST,5689,-0.11613576709503401,-0.045318384001927545,0.1014389720904986,-0.10598128107810358
ST,5690,-0.11559615585669042,-0.04344633582394406,0.10400530709856838,-0.10548333739277219
ST,5692,-0.012654539388893557,-0.1398964948008614,0.09987601163143621,-0.00814318512792879
ST,5693,-0.13870688713516272,-0.016987721162761475,0.0895636936433356,-0.12160059098850888
ST,5694,-0.14659782865368745,-0.01140690620531749,0.09014675937927301,-0.12897629755635426
ST,5695,-0.1450142973647155,-0.015284958427454656,0.09454029036656351,-0.12675334670237895
ST,5696,-0.14928608169094587,-0.008555487641335294,0.09151201699455969,-0.13186760439482964
ST,5697,-0.150653489978619,-0.006715883477194074,0.09090930168931106,-0.13365090803137072
ST,5698,-0.15161425105017345,-0.005790629596581876,0.0915756064892585,-0.13441734920837614
ST,5700,-0.1423106180487603,0.2012995191460326,0.17257687255264778,-0.15477214165911019
ST,5702,-0.14480913071551627,0.1796205810660712,0.1610019459125734,-0.15406582999849364
ST,5703,-0.1446126489451486,0.18351738364162143,0.16641877251397907,-0.15490063177422447
ST,5704,-0.09464174191631207,-0.06361438502457073,0.07845935255061502,-0.08102067376233194
ST,5705,-0.10702969708170967,-0.060720272159857834,0.0880764488436874,-0.09065304929625681
ST,5706,-0.10379162999813883,-0.06355353187259728,0.09340418965516503,-0.08803447900039467
ST,5707,-0.10904993424531605,-0.05823031934861067,0.0975975053113559,-0.09311744391514896
ST,5708,-0.11933651511179089,-0.04041890420271415,0.09500279342194616,-0.10637705546823784
ST,5709,-0.11943873333438,-0.043854304694276036,0.10103899333269466,-0.10493159639530814
ST,5711,-0.10238958334295954,0.44003215258975215,0.2694281903386368,-0.15379297589795582
ST,5713,-0.10536445783495518,0.42695319354486155,0.26415763113140234,-0.1552214528107688
ST,5714,-0.11241025507893398,0.3656469557660732,0.23843460198603406,-0.15374265170168636
ST,5715,-0.05280462001963136,-0.11110973287971923,0.0788564381578931,-0.04030704808798243
ST,5723,-0.12834634733894984,-0.03589906256200352,0.09527730414963247,-0.11031451163105789
ST,5724,-0.12967286189056215,-0.03410385234235614,0.0977945800995533,-0.11203549692493453
ST,5725,-0.1335897901103032,-0.029781063235335133,0.09963240484958903,-0.11635464137116473
ST,5726,-0.13984101215452002,-0.019666789426605918,0.09610666415050485,-0.12395160987973045
ST,5727,-0.1416843304339882,-0.016770857319362214,0.09600853154555541,-0.12630022482847786
ST,5728,-0.14303842851552645,-0.015998398333173562,0.0966746019775065,-0.12757490743805341
ST,5729,-0.1404083190420461,-0.01803068558164086,0.09995478785681204,-0.1251481584970485
ST,5730,-0.14236541770195246,-0.016863873247976103,0.10149084762540102,-0.12660712063932847
ST,5731,-0.1442661939684514,-0.014456087285292202,0.10065986408849724,-0.12872886086633845
ST,5732,-0.14417209889368204,-0.015170477846397454,0.10149790492752786,-0.12889592561753144
ST,5734,-0.09935645986747858,-0.06875802157426442,0.07369803467640407,-0.0824412942030457
ST,5735,-0.10286927604874559,-0.06318691085713232,0.07926092415417492,-0.08687545317053634
ST,5736,-0.10038691343632043,-0.0669935585721688,0.08533525736167649,-0.08439137473386342
ST,5737,-0.11161355090143364,-0.055155624382957624,0.08975605175932883,-0.09582459930878856
ST,5738,-0.12164081388866795,-0.03966082175871964,0.09001980636598098,-0.10797684075879038
ST,5739,-0.11568454795781916,-0.047554021331404864,0.0958977861814083,-0.10108037822129005
ST,5740,-0.10641813631667016,-0.06517775266082382,0.10921080977696229,-0.08895749294427066
ST,5741,-0.12150310550870727,-0.039582781181600454,0.09986414327368064,-0.10798321206696146
ST,5742,-0.11466197535870766,-0.054076173606763756,0.114285734557177,-0.09801904651350533
ST,5743,-0.12559749347587193,-0.03534260209080607,0.10430197627662866,-0.11215982258848976
ST,5745,-0.03632507007684592,-0.14443280666576652,0.032340211032024335,-0.0076323614204399145
ST,5746,-0.030449708370032764,-0.15448584582921107,0.04223816728572076,5.113132192093804e-4
ST,5747,-0.032418271513932874,-0.14950444376275904,0.054820334644874805,-0.004242688609179736
ST,5748,-0.06167464498497782,-0.10675021013411475,0.0682003176309829,-0.042962920893132944
ST,5749,-0.0575359501902498,-0.1198891545306161,0.0795988681699813,-0.03425341448884705
ST,5750,-0.056324578400482585,-0.12157193919226093,0.08929746279179059,-0.03230744009173202
ST,5751,-0.052542661114186644,-0.13032874733066696,0.1022890518690809,-0.026478394500416225
ST,5752,-0.05665712470409387,-0.13005383490395,0.1147863587625263,-0.028924738070207654
ST,5753,-0.060239583799213896,-0.11453897981127252,0.11694125700962534,-0.03800832656536923
ST,5754,-0.07287356219300929,-0.0993609583602822,0.11986060302822182,-0.053783352719689884
ST,5757,-0.08687495328015132,-0.0832051853041872,0.13052966777399458,-0.07237637324635394
ST,5758,0.08160596307378423,-0.262457685562232,-0.10757767477371753,0.11211556531516038
ST,5759,0.10107043139666468,-0.2984959113783832,-0.1038861902206222,0.14120619555136266
ST,5760,0.07476382363422752,-0.26505740579033676,-0.06143186829284923,0.10568304368778723
ST,5761,0.060808986515825995,-0.2516692809929611,-0.03365221465727241,0.09099519862726027
ST,5762,0.020578195589531664,-0.1907939737887337,0.0046694548092057414,0.03526876576879145
ST,5763,0.052122550981783373,-0.245922906797636,0.010209944115328308,0.08272184580201848
ST,5764,0.04896726082495599,-0.24157947784369332,0.03137550247573025,0.0773762896795214
ST,5765,0.053581252922154904,-0.2520444114634595,0.052323417729550396,0.0863534349850712
ST,5766,0.04298676628349673,-0.23308949164675252,0.07159144916376944,0.07065223963682439
ST,5767,0.004547929044898879,-0.1792948055355419,0.08256939199211473,0.01815677409797584
ST,5770,-0.014150460032591674,-0.1641932403642507,0.11645216396076176,-0.006721725938462348
ST,5771,0.43158154942974036,-0.5542825361943483,-0.270102622951547,0.43618923591493697
ST,5772,-0.12749978374671012,-0.03528413085797545,0.09631264789871666,-0.11023346207602062
ST,5773,-0.12450901586368267,-0.04486410225512501,0.10472370683840748,-0.10560169350616419
ST,5774,-0.13121934872385016,-0.029171139001362253,0.09909022385953027,-0.1150599553872962
ST,5775,-0.1378635230102595,-0.022167120137638618,0.09616358327672973,-0.12281949157318772
ST,5776,-0.13919058975565085,-0.02071198445407739,0.09870909908513253,-0.12344855083805015
ST,5778,-0.12715061900217695,-0.03727805742910039,0.09339970760981157,-0.10927466646748069
ST,5779,-0.12377462846311224,-0.04562745693940646,0.10007285855946803,-0.10502657081199886
ST,5780,-0.13141304652297486,-0.03128596620709642,0.0965480962558539,-0.11477137353745959
ST,5781,-0.1364781668922358,-0.021748765425008046,0.09448737759063094,-0.12110767387603384
ST,5783,-0.10128232343219704,-0.07209114833944458,0.08596912086602232,-0.08326627660644978
ST,5784,-0.10109088133845498,-0.07070517982829903,0.09110880299236691,-0.08434159387505978
ST,5785,-0.107677234117666,-0.06179672717229843,0.0951353672248664,-0.09116962137376643
ST,5786,-0.11044284550329057,-0.059859275549769976,0.10003487760557764,-0.09390305351653377
