prime_mover,rowid,CHP_fixed_adj,CHP_variable_adj,age_fixed_adj,age_obs_fixed_adj,age_obs_variable_adj,age_variable_adj,capacity_adj,duct_burners_fixed_adj,fluidized_bed_variable_adj,gas_age_fixed_adj,gas_age_variable_adj,gas_fixed_adj,gas_pollution_fixed_adj,gas_starts_adj,gen_adj,oil_age_fixed_adj,oil_fixed_adj,oil_starts_adj,oil_variable_adj,pollution_fixed_adj,pollution_variable_adj,pulverized_coal_fixed_adj,starts_adj,supercritical_fixed_adj,supercritical_variable_adj,real_opex
GT,3703,0,0,-1859.552193646145,632.200510011028,1041627.8742679813,-3063840.297319924,91.41379108532382,0,0,-1859.552193646145,-3063840.297319924,91.41379108532382,1789.4914186212536,21482.240905051098,150615.43193839278,-0,0,0,0,1789.4914186212536,2948406.578107214,0,21482.240905051098,0,0,577469.6950208531
GT,3704,0,0,-1749.6903066202722,535.1873299738651,887916.1719232438,-2902868.2707816437,90.45681271307461,0,0,-1749.6903066202722,-2902868.2707816437,90.45681271307461,1748.6978228633805,12392.583341691221,150074.67922025212,-0,0,0,0,1748.6978228633805,2901221.665324526,0,12392.583341691221,0,0,1193703.8146078691
GT,3705,0,0,-1592.1753010642906,426.6261832885141,604670.1688558159,-2256638.119867885,86.81070386971017,0,0,-1592.1753010642906,-2256638.119867885,86.81070386971017,1643.2056754446648,20574.13681712131,123039.4312950344,-0,0,0,0,1643.2056754446648,2328965.010016794,0,20574.13681712131,0,0,755775.3793323984
GT,3706,0,0,-1831.9577841374748,413.59541142655445,280228.1505340767,-1241227.8461568777,105.64036645003428,0,0,-1831.9577841374748,-1241227.8461568777,105.64036645003428,1951.9490442428362,15000.932035904867,71575.75663116889,-0,0,0,0,1951.9490442428362,1322526.9321007985,0,15000.932035904867,0,0,1354733.2016909127
GT,3707,0,0,-1729.0178858493816,308.49627585599063,638325.1394066057,-3577597.7520601535,105.80118756469538,0,0,-1729.0178858493816,-3577597.7520601535,105.80118756469538,1920.1283096417528,9627.90806838728,218918.5513317021,-0,0,0,0,1920.1283096417528,3973033.9289502352,0,9627.90806838728,0,0,1813756.339873346
GT,3708,0,0,-1643.7994649832392,205.32948414841667,440690.3527120762,-3528020.191624155,107.13799155029885,0,0,-1643.7994649832392,-3528020.191624155,107.13799155029885,1920.693941798801,1071.3799155029885,229945.93046869407,-0,0,0,0,1920.693941798801,4122307.58857526,0,1071.3799155029885,0,0,1755430
ST,3709,0,0,81.86872264969945,1579.84202718133,8478984.443355404,439387.99816755706,99.26669541166021,0,0,81.86872264969945,439387.99816755706,99.26669541166021,2031.0197221097762,397.06678164664083,532762.6127534081,0,0,0,0,2031.0197221097762,10900447.216638219,0,397.06678164664083,0,0,2924448.6915694685
ST,3710,0,0,182.98196234261886,1496.2986263659045,6555520.539786874,801672.868911804,100.31627629958638,0,0,182.98196234261886,801672.868911804,100.31627629958638,1995.6538924229403,1203.7953155950365,439501.4458805352,0,0,0,0,1995.6538924229403,8743274.805951072,0,1203.7953155950365,0,0,3327372.7614506464
ST,3711,0,0,295.6249436386525,1457.1483245656536,6978739.967897332,1415840.498113619,104.70655627535018,0,0,295.6249436386525,1415840.498113619,104.70655627535018,2005.9721485340701,732.9458939274513,501472.5109727524,0,0,0,0,2005.9721485340701,9607229.251446633,0,732.9458939274513,0,0,3368499.3656688104
ST,3712,0,0,395.7676578531943,1336.093601000503,4717845.300786371,1397484.8643895406,103.45732197698405,0,0,395.7676578531943,1397484.8643895406,103.45732197698405,1989.1161017474603,931.1158977928565,365315.45391397545,0,0,0,0,1989.1161017474603,7023716.037798933,0,931.1158977928565,0,0,3457719.0906108683
