prime_mover,cls,formula,mean_rmse
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + gen_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + CHP_fixed_adj + oil_starts_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,7869399.561129687
CC,2,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,7869399.561129687
